# Tile coordinates are in index space, not physical space
dim = 3

tile_58.nrrd;;(62.8202656155173, 342.8896096817871, 4.140755956823176)
tile_59.nrrd;;(99.29009990642804, 344.4990977835177, 2.0140329707752573)
tile_60.nrrd;;(-1.0896647316321992e-1, 401.8321962911413, 2.045966863632202)
tile_61.nrrd;;(31.24839786983426, 401.76501078953515, 4.125452735207298)
tile_62.nrrd;;(63.96118896918097, 401.8966838111584, 2.2178808559070933)
tile_63.nrrd;;(99.22148293479306, 401.911757076407, 2.1901542381806807)
tile_64.nrrd;;(-2.651747856670391e-3, 2.5052160612846673e-2, 6.163745920766484)
tile_65.nrrd;;(32.820497346015536, -6.169689361724936e-3, 6.133114904165268)
tile_66.nrrd;;(66.21987249677748, 2.623620927769538e-2, 6.132563290270892)
tile_67.nrrd;;(99.30861350994522, 1.9831681959004252e-3, 6.170442936095324)
tile_68.nrrd;;(1.3925114711909962e-2, 59.89339354149679, 6.10605970566923)
tile_69.nrrd;;(33.04303688611257, 60.18736486950713, 6.122608528895811)
tile_70.nrrd;;(66.11713565665485, 55.285275669682484, 6.125997689637271)
tile_71.nrrd;;(99.36109420147717, 54.30288010577609, 6.160235153003172)
tile_72.nrrd;;(4.297772923495337e-2, 114.68398738959876, 6.0526357205076655)
tile_73.nrrd;;(31.924509389519525, 114.31819991521468, 6.125784616578709)
tile_74.nrrd;;(63.222721056953176, 115.52730414190984, 6.103969336910681)
tile_75.nrrd;;(99.4013967883115, 112.45680846777375, 6.116626498374072)
tile_76.nrrd;;(5.076056596828483e-2, 176.18633585882165, 6.1241209290244365)
tile_77.nrrd;;(29.810773225716517, 169.35785556215689, 6.134110166267916)
tile_78.nrrd;;(66.53224177546949, 175.0379706386904, 6.066717422821305)
tile_79.nrrd;;(99.41374083181732, 168.41344785090473, 6.117496956478465)
tile_80.nrrd;;(3.0706489556714105e-2, 231.97758943239447, 6.131805484945124)
tile_81.nrrd;;(32.96032646593348, 227.7062785856865, 6.105542384765365)
tile_82.nrrd;;(68.6934066742216, 229.60246119456977, 6.107916776429523)
tile_83.nrrd;;(99.42626094430672, 228.51358550556517, 6.130372643470764)
tile_84.nrrd;;(-5.105702609520906e-2, 288.34285588657843, 6.169702091000297)
tile_85.nrrd;;(31.988037396753576, 283.980192621544, 6.136745043776252)
tile_86.nrrd;;(67.93772312804379, 288.9545236093906, 6.150125338272615)
tile_87.nrrd;;(99.31061366405564, 289.38902595865295, 6.15906188975681)
tile_88.nrrd;;(-5.6050908452237556e-2, 343.28066129070373, 6.170635608109561)
